frame id, hand, time, X, Y, Z
19147, 1.076719, 0, 0.005174513, 0.9305822, -8.797697
19147, 1.080391, 0, 0.004126884, 0.929746, -8.79713
19148, 1.084686, 0, 0.002999315, 0.9287888, -8.796572
19148, 1.088855, 0, 0.002025196, 0.9279678, -8.796169
19149, 1.092551, 0, 0.001224579, 0.9272978, -8.7959
19149, 1.096767, 0, 0.0003034441, 0.9265298, -8.795576
19150, 1.100711, 0, -0.0005881872, 0.9257913, -8.795238
19151, 1.108249, 0, -0.001937589, 0.9244851, -8.794785
19151, 1.114293, 0, -0.002926178, 0.923484, -8.794548
19152, 1.119128, 0, -0.003665779, 0.9227464, -8.79442
19152, 1.122694, 0, -0.003971479, 0.9224335, -8.794386
19153, 1.127979, 0, -0.004400036, 0.9219947, -8.794338
19153, 1.134845, 0, -0.004901339, 0.9213463, -8.794342
19154, 1.143558, 0, -0.005511862, 0.92042, -8.794451
19155, 1.149701, 0, -0.005921609, 0.9197122, -8.794624
19156, 1.159835, 0, -0.006383367, 0.918593, -8.795094
19157, 1.167602, 0, -0.006586063, 0.9178597, -8.7955
19158, 1.174531, 0, -0.006673004, 0.9171859, -8.79588
19159, 1.180888, 0, -0.006602861, 0.9164966, -8.796319
19160, 1.191038, 0, -0.006472436, 0.9154388, -8.797068
19161, 1.198805, 0, -0.006366434, 0.9147513, -8.79769
19162, 1.207937, 0, -0.006305203, 0.9143109, -8.798231
19162, 1.214914, 0, -0.006280558, 0.9141268, -8.798559
19163, 1.225111, 0, -0.006238832, 0.9140441, -8.799122
19165, 1.2404, 0, -0.006153661, 0.9144168, -8.800139
19167, 1.255945, 0, -0.006070947, 0.9152399, -8.800854
19168, 1.269122, 0, -0.006010411, 0.9168127, -8.801714
19169, 1.27818, 0, -0.005931452, 0.9178433, -8.802111
19170, 1.285017, 0, -0.005867811, 0.9187787, -8.802542
19170, 1.291439, 0, -0.005839227, 0.9194457, -8.802825
19171, 1.297382, 0, -0.005819098, 0.9200667, -8.80308
19172, 1.304262, 0, -0.005807009, 0.9210011, -8.803444
19173, 1.31268, 0, -0.0058212, 0.9222997, -8.803974
19174, 1.321787, 0, -0.005895271, 0.9239525, -8.804548
19175, 1.329744, 0, -0.005969763, 0.9252616, -8.804993
19176, 1.336538, 0, -0.006040961, 0.9266183, -8.805368
19177, 1.342565, 0, -0.006073995, 0.9274995, -8.805634
19177, 1.348827, 0, -0.006111798, 0.9285022, -8.80593
19179, 1.359197, 0, -0.006225512, 0.9309869, -8.80666
19180, 1.368517, 0, -0.006309444, 0.933243, -8.807352
19181, 1.377704, 0, -0.006358848, 0.9347535, -8.807846
19181, 1.38465, 0, -0.00641299, 0.9362464, -8.808326
19182, 1.39273, 0, -0.006539097, 0.9395698, -8.809328
19183, 1.399655, 0, -0.006580736, 0.9416965, -8.809839
19184, 1.408309, 0, -0.006565083, 0.9439993, -8.810429
19184, 1.415309, 0, -0.006515241, 0.945672, -8.810894
19185, 1.424216, 0, -0.006431604, 0.9477739, -8.811504
19186, 1.430508, 0, -0.006375979, 0.948988, -8.811878
19187, 1.44053, 0, -0.006205982, 0.9523397, -8.812928
19188, 1.448575, 0, -0.006017346, 0.9547855, -8.813775
19189, 1.455248, 0, -0.005866716, 0.9572587, -8.814466
19189, 1.460953, 0, -0.005685834, 0.9597053, -8.81544
19190, 1.467074, 0, -0.005495676, 0.9622564, -8.816469
19191, 1.474243, 0, -0.005118642, 0.9657455, -8.817666
19192, 1.481046, 0, -0.004843948, 0.9688799, -8.818703
19193, 1.488736, 0, -0.004525228, 0.9717828, -8.819799
19194, 1.499408, 0, -0.004052885, 0.9755071, -8.821338
19196, 1.514053, 0, -0.003548057, 0.9808527, -8.82329
19198, 1.531003, 0, -0.003114158, 0.9873231, -8.826119
19199, 1.547472, 0, -0.002892612, 0.9939256, -8.828423
19204, 1.584787, 0, -0.00236611, 1.013062, -8.835067
19207, 1.61571, 0, -0.00189098, 1.024525, -8.838908
19210, 1.643842, 0, -0.001937842, 1.037571, -8.844021
19213, 1.667914, 0, -0.00189544, 1.049196, -8.847941
19216, 1.693645, 0, -0.001360443, 1.058276, -8.850928
19219, 1.718382, 0, -0.001499815, 1.06623, -8.854733
19223, 1.751943, 0, -0.002532157, 1.075181, -8.859168
19226, 1.777332, 0, -0.003200556, 1.080069, -8.861981
19229, 1.802655, 0, -0.003987932, 1.084283, -8.864853
19232, 1.829202, 0, -0.004017038, 1.087233, -8.866542
19235, 1.856855, 0, -0.00364119, 1.088148, -8.868131
19239, 1.881841, 0, -0.00306315, 1.086678, -8.869994
19242, 1.913237, 0, -0.001759058, 1.082463, -8.871163
19245, 1.938368, 0, -0.0008101575, 1.077276, -8.87137
19249, 1.96627, 0, 0.0006682914, 1.066503, -8.870627
19252, 1.996783, 0, 0.001628048, 1.053884, -8.8694
19255, 2.027292, 0, 0.002730972, 1.038901, -8.866559
19258, 2.05251, 0, 0.002991028, 1.025429, -8.864054
19262, 2.082765, 0, 0.002994927, 1.007043, -8.859981
19265, 2.111574, 0, 0.00443284, 0.9871477, -8.855057
19268, 2.139536, 0, 0.004658357, 0.967351, -8.851683
19272, 2.167799, 0, 0.003277395, 0.9541032, -8.850333
19275, 2.19273, 0, 0.00194002, 0.9472506, -8.85033
19278, 2.21798, 0, 0.0003878793, 0.943907, -8.851089
19281, 2.246906, 0, -0.001726135, 0.9435852, -8.852724
19284, 2.275578, 0, -0.003104235, 0.9450097, -8.854206
19288, 2.301312, 0, -0.004982205, 0.9486014, -8.856132
19291, 2.332374, 0, -0.007205339, 0.954877, -8.85808
19294, 2.356858, 0, -0.008702309, 0.9592726, -8.859774
19297, 2.382263, 0, -0.0105544, 0.9642175, -8.861716
19300, 2.407293, 0, -0.01223149, 0.9689482, -8.863285
19304, 2.434375, 0, -0.0139767, 0.9741678, -8.864308
19307, 2.460192, 0, -0.01574438, 0.9792365, -8.865169
19310, 2.484701, 0, -0.01723443, 0.9834543, -8.865521
19313, 2.514467, 0, -0.01871476, 0.9881131, -8.865627
19315, 2.539726, 0, -0.01971649, 0.9908104, -8.865623
19318, 2.562612, 0, -0.02062527, 0.992416, -8.86578
19322, 2.590298, 0, -0.02166717, 0.99441, -8.866088
19325, 2.615084, 0, -0.02227258, 0.9954556, -8.866223
19328, 2.64, 0, -0.02258761, 0.9962087, -8.86646
19331, 2.664335, 0, -0.02279318, 0.996269, -8.86671
19334, 2.689881, 0, -0.02291205, 0.9958278, -8.867235
19338, 2.719542, 0, -0.02294399, 0.9952849, -8.868173
19342, 2.754906, 0, -0.02274458, 0.9948936, -8.869491
19345, 2.780456, 0, -0.0224551, 0.9941957, -8.870426
19348, 2.806278, 0, -0.02223651, 0.9930084, -8.871683
19351, 2.833182, 0, -0.02181979, 0.9919091, -8.873071
19354, 2.858801, 0, -0.02144618, 0.9913766, -8.874071
19357, 2.884764, 0, -0.02127496, 0.9905041, -8.87534
19361, 2.916214, 0, -0.02113799, 0.9897542, -8.876531
19364, 2.944185, 0, -0.02118925, 0.9890158, -8.877369
19367, 2.968838, 0, -0.02124165, 0.9883076, -8.877827
19371, 2.997813, 0, -0.02156566, 0.9878142, -8.878231
19374, 3.023892, 0, -0.02198863, 0.9875625, -8.878294
19378, 3.059689, 0, -0.0229772, 0.9874976, -8.878359
19381, 3.091295, 0, -0.02381459, 0.9877402, -8.877966
19385, 3.122464, 0, -0.02473396, 0.9880899, -8.877481
19388, 3.148839, 0, -0.02569353, 0.9886006, -8.876966
19391, 3.17534, 0, -0.02674959, 0.9896107, -8.876421
19394, 3.202101, 0, -0.02757103, 0.9908556, -8.875662
19397, 3.227989, 0, -0.02816791, 0.9921908, -8.875228
19400, 3.253623, 0, -0.02877258, 0.9935197, -8.874845
19404, 3.282148, 0, -0.02946841, 0.9944435, -8.874595
19407, 3.309126, 0, -0.03002795, 0.9954016, -8.874421
19411, 3.338479, 0, -0.0304631, 0.9968745, -8.87431
19414, 3.369251, 0, -0.03095501, 0.9984117, -8.874406
19418, 3.401748, 0, -0.03146811, 0.9997049, -8.874259
19421, 3.429414, 0, -0.03182594, 1.000856, -8.873706
19425, 3.459953, 0, -0.03219055, 1.002545, -8.872883
19428, 3.48693, 0, -0.03253574, 1.003853, -8.872012
19431, 3.514491, 0, -0.03283135, 1.004951, -8.871025
19434, 3.542751, 0, -0.03302807, 1.006497, -8.869542
19437, 3.569589, 0, -0.03318189, 1.007725, -8.867974
19440, 3.595211, 0, -0.03328101, 1.008904, -8.866595
19444, 3.626596, 0, -0.03321929, 1.009533, -8.864592
19447, 3.651954, 0, -0.03324381, 1.009924, -8.863314
19450, 3.677383, 0, -0.03323047, 1.010384, -8.862032
19453, 3.703985, 0, -0.03323716, 1.011232, -8.860772
19456, 3.731361, 0, -0.03306443, 1.012142, -8.859854
19460, 3.759507, 0, -0.03291605, 1.01334, -8.859108
19463, 3.791667, 0, -0.03265738, 1.013798, -8.858446
19467, 3.817528, 0, -0.03210406, 1.013408, -8.858131
19470, 3.844545, 0, -0.03129753, 1.011771, -8.857581
19473, 3.872679, 0, -0.02965477, 1.008641, -8.856449
19476, 3.898339, 0, -0.02821246, 1.005343, -8.855227
19480, 3.924863, 0, -0.02664052, 1.001671, -8.853896
19483, 3.950175, 0, -0.02555353, 0.997643, -8.852577
19486, 3.981238, 0, -0.0244529, 0.9925141, -8.850881
19490, 4.01159, 0, -0.0238982, 0.9886271, -8.849319
19493, 4.037101, 0, -0.02353781, 0.9857405, -8.848042
19495, 4.061704, 0, -0.02316281, 0.9827666, -8.847025
19499, 4.08753, 0, -0.02282107, 0.9792879, -8.84574
19503, 4.118119, 0, -0.0225228, 0.9761841, -8.844635
19506, 4.148285, 0, -0.02214232, 0.9730454, -8.843667
19509, 4.174232, 0, -0.02163822, 0.9697748, -8.843123
19513, 4.201017, 0, -0.02069367, 0.9656532, -8.842619
19516, 4.22964, 0, -0.019013, 0.959579, -8.842296
19519, 4.2558, 0, -0.01730063, 0.9529826, -8.8426
19522, 4.281928, 0, -0.01550587, 0.9458694, -8.842758
19525, 4.307609, 0, -0.01395618, 0.9379539, -8.842976
19529, 4.336475, 0, -0.01228308, 0.9272714, -8.843064
19532, 4.361329, 0, -0.01089235, 0.9170758, -8.842934
19535, 4.387044, 0, -0.009420045, 0.9055969, -8.842911
19539, 4.418879, 0, -0.007309756, 0.8907732, -8.842395
19541, 4.44608, 0, -0.005690342, 0.8809817, -8.842061
19545, 4.47107, 0, -0.003917441, 0.871698, -8.841906
19549, 4.504635, 0, -0.002260477, 0.8645606, -8.842474
19552, 4.534585, 0, -0.0007998252, 0.8641986, -8.843129
19556, 4.564509, 0, 0.0001226584, 0.8673303, -8.844605
19559, 4.592295, 0, 0.0006655229, 0.8733031, -8.846842
19562, 4.61716, 0, 0.001375102, 0.8821022, -8.849218
19565, 4.642576, 0, 0.001957506, 0.89257, -8.851691
19569, 4.673069, 0, 0.002591745, 0.9052557, -8.853864
19572, 4.698123, 0, 0.00297853, 0.9163688, -8.85483
19575, 4.724065, 0, 0.002852976, 0.9277205, -8.855176
19578, 4.750783, 0, 0.002271474, 0.9407471, -8.85535
19582, 4.777419, 0, 0.001514975, 0.9533014, -8.855351
19585, 4.802827, 0, 0.0005427866, 0.9648529, -8.855619
19588, 4.831458, 0, -0.0008483923, 0.9778664, -8.85571
19592, 4.869777, 0, -0.002926178, 0.9921467, -8.855599
19596, 4.900443, 0, -0.004376506, 1.003447, -8.854499
19598, 4.925561, 0, -0.006029049, 1.01344, -8.853954
19601, 4.951204, 0, -0.007337608, 1.02354, -8.853225
19604, 4.978591, 0, -0.00882841, 1.031476, -8.853307
19608, 5.006436, 0, -0.01116852, 1.039282, -8.85523
19611, 5.032829, 0, -0.01391174, 1.04796, -8.858238
19614, 5.062171, 0, -0.01665423, 1.054482, -8.860995
19617, 5.088171, 0, -0.01850028, 1.059241, -8.863159
19621, 5.115342, 0, -0.02024622, 1.063, -8.865298
19624, 5.141552, 0, -0.02105603, 1.06516, -8.866944
19628, 5.177072, 0, -0.02228503, 1.066913, -8.869308
19632, 5.203877, 0, -0.02337215, 1.067675, -8.871076
19635, 5.236619, 0, -0.02430125, 1.067808, -8.872872
19639, 5.268521, 0, -0.02482459, 1.067148, -8.874161
