frame id, hand, time, X, Y, Z
19119, 0.8370255, 0, 0.1429608, 0.9965397, -9.019423
19123, 0.8626232, 0, 0.1336928, 0.9893155, -8.985394
19125, 0.8822476, 0, 0.1272093, 0.9857069, -8.965112
19126, 0.8876908, 0, 0.1250926, 0.9845945, -8.958662
19126, 0.8939085, 0, 0.1220552, 0.9830346, -8.950752
19127, 0.898075, 0, 0.1193061, 0.9816759, -8.945112
19127, 0.9034106, 0, 0.1159808, 0.9801145, -8.93805
19128, 0.9090039, 0, 0.1129571, 0.9786772, -8.931669
19129, 0.9136985, 0, 0.1105103, 0.9773526, -8.926944
19129, 0.9191238, 0, 0.1076077, 0.9757951, -8.921325
19130, 0.9248103, 0, 0.1042155, 0.9740889, -8.91464
19130, 0.9290115, 0, 0.1017312, 0.9728948, -8.909855
19131, 0.9332289, 0, 0.09862946, 0.9716164, -8.904299
19132, 0.9421467, 0, 0.09152052, 0.9686109, -8.892489
19133, 0.9488595, 0, 0.08698852, 0.966689, -8.885388
19133, 0.9541181, 0, 0.08328361, 0.9651229, -8.879637
19133, 0.9579407, 0, 0.08123127, 0.9642574, -8.876446
19134, 0.9618368, 0, 0.07908531, 0.9633522, -8.873109
19134, 0.9661741, 0, 0.07577682, 0.9616767, -8.868138
19135, 0.9704648, 0, 0.07147056, 0.9593061, -8.861788
19135, 0.9754504, 0, 0.06639109, 0.9565098, -8.854297
19135, 0.9791343, 0, 0.06306791, 0.9557422, -8.85005
19136, 0.9827234, 0, 0.05974674, 0.9553019, -8.846008
19136, 0.9872182, 0, 0.05632736, 0.9541864, -8.841869
19137, 0.9908262, 0, 0.05352685, 0.9531702, -8.838483
19137, 0.9946517, 0, 0.05080846, 0.9520622, -8.835357
19138, 0.9988076, 0, 0.04792891, 0.9508554, -8.832089
19138, 1.003286, 0, 0.04457596, 0.9494891, -8.828378
19139, 1.006993, 0, 0.04186372, 0.9484052, -8.825428
19139, 1.010825, 0, 0.03884675, 0.9472575, -8.822497
19140, 1.014529, 0, 0.03582622, 0.9461519, -8.819827
19140, 1.020355, 0, 0.03170123, 0.9444284, -8.816289
19141, 1.026841, 0, 0.02786154, 0.9427868, -8.813102
19142, 1.031259, 0, 0.02476263, 0.9416291, -8.810692
19142, 1.035528, 0, 0.02205539, 0.9404595, -8.808669
19143, 1.039636, 0, 0.01968704, 0.9393198, -8.80696
19143, 1.043703, 0, 0.01774387, 0.9383633, -8.805546
19143, 1.047373, 0, 0.0164955, 0.9377269, -8.804624
19144, 1.051247, 0, 0.0151142, 0.9370227, -8.803604
19144, 1.056855, 0, 0.01288453, 0.9357015, -8.802093
19145, 1.060594, 0, 0.0111949, 0.934613, -8.801011
19145, 1.064576, 0, 0.009471413, 0.9335204, -8.800051
19146, 1.069016, 0, 0.007455537, 0.9322554, -8.799033
19146, 1.072996, 0, 0.006251935, 0.9313829, -8.798336
